"Priority","Feature","Description","RevenueImpact","EstimatedConversionLift","Effort","SupabaseTable","Implementation"
"1","Save Birth Chart + Profile","Users save birth details once, pre-populate all forms (Birth Chart, Matchmaking, Remedies). No re-entry friction.","⭐⭐⭐⭐⭐","40%","Low","profiles, birth_charts","Angular ProfileService + Supabase upsert on login"
"2","Subscription Plans (Free/Basic/Premium/Yearly)","Free=, Basic=.99/mo, Premium=.99/mo, Yearly=/yr. Gate features by plan.","⭐⭐⭐⭐⭐","Primary Revenue Driver","Medium","subscriptions","Stripe + Supabase subscriptions table + Angular auth guard"
"3","Report History Dashboard","Save every paid report (birth chart, numerology, matchmaking). Re-access without paying again. Builds trust.","⭐⭐⭐⭐","25%","Low","saved_reports","Supabase CRUD + Dashboard component"
"4","Daily Push Notifications","7am horoscope, planetary transit alerts, Dasha change warnings 30 days ahead, Muhurat reminders.","⭐⭐⭐⭐","Daily Active Users +60%","Medium","profiles (preferences)","Supabase Edge Functions + FCM/APNs"
"5","Referral Program","User shares link, friend signs up, referrer gets 1 free report. Viral growth loop.","⭐⭐⭐⭐","Organic Growth","Medium","referrals","Unique referral codes + Supabase trigger on signup"
"6","Analytics Events Tracking","Track paywall shown, payment started/success, feature usage. Identify conversion drop-offs.","⭐⭐⭐","Indirect - Data-driven optimization","Low","analytics_events","Angular service + Supabase insert on user actions"
"7","Astrologer Consultations (Live)","Upsell from AI Q&A to live astrologer sessions. Charge -25 per session.","⭐⭐⭐⭐⭐","High-ticket revenue","High","consultations","Booking system + video integration + Stripe one-time payments"
"8","Personalized Daily Feed","Store Rashi/Nakshatra/Lagna in profile. Auto-generate personalized daily content. No re-entry needed.","⭐⭐⭐⭐","Retention +50%","Medium","profiles, horoscope_reads","Supabase Realtime + Angular resolver on app load"
"9","PDF Report Generation","Premium feature: download birth chart, matchmaking, yearly horoscope as branded PDF. Shareable.","⭐⭐⭐⭐","Upsell to Premium","Medium","saved_reports","pdf-lib (already in package.json) + Supabase Storage"
"10","Payment History & Invoices","Full payment history with downloadable invoices. Builds trust, reduces chargebacks.","⭐⭐⭐","Trust/Retention","Low","payment_history","Stripe webhooks → Supabase insert"
